Thread Size	Height	Width	Starts	Speed Ratio	Travel Distance per Turn	Thread Fit	Hardness	Specifications Met	Part	Cost	Material	Direction	Type
"3/8""-10"	"23/64"""	"11/16"""	1	1:1	"0.1"""	Class 2G	Rockwell B97	__	95066A357	14.41	18-8 Stainless Steel	left	hex
"3/8""-12"	"23/64"""	"11/16"""	1	1:1	"0.083"""	Class 2G	Not Rated	__	95066A408	13.91	18-8 Stainless Steel	left	hex
"1/2""-8"	"31/64"""	"7/8"""	1	1:1	"0.125"""	Class 2G	Rockwell B97	__	95066A366	30.87	18-8 Stainless Steel	left	hex
"1/2""-10"	"31/64"""	"7/8"""	1	1:1	"0.1"""	Class 2G	Not Rated	__	95066A412	16.04	18-8 Stainless Steel	left	hex
"5/8""-6"	"19/32"""	"1 1/16"""	1	1:1	"0.167"""	Class 2G	Rockwell B97	__	95066A371	24.43	18-8 Stainless Steel	left	hex
"5/8""-8"	"39/64"""	"1 1/16"""	1	1:1	"0.125"""	Class 2G	Not Rated	__	95066A413	18.3	18-8 Stainless Steel	left	hex
"3/4""-5"	"47/64"""	"1 1/4"""	1	1:1	"0.2"""	Class 2G	Not Rated	__	95066A414	22.09	18-8 Stainless Steel	left	hex
"3/4""-6"	"47/64"""	"1 1/4"""	1	1:1	"0.167"""	Class 2G	Not Rated	__	95066A417	22.09	18-8 Stainless Steel	left	hex
"3/4""-8"	"23/32"""	"1 1/4"""	1	1:1	"0.125"""	Class 2G	Rockwell B97	__	95066A383	25.2	18-8 Stainless Steel	left	hex
"7/8""-6"	"55/64"""	"1 1/2"""	1	1:1	"0.167"""	Class 2G	Not Rated	__	95066A426	25.97	18-8 Stainless Steel	left	hex
"1""-4"	"63/64"""	"1 5/8"""	1	1:1	"0.25"""	Class 2G	Rockwell B97	__	95066A389	37.02	18-8 Stainless Steel	left	hex
"1""-5"	"63/64"""	"1 5/8"""	1	1:1	"0.2"""	Class 2G	Not Rated	__	95066A415	33.8	18-8 Stainless Steel	left	hex
"1""-6"	"63/64"""	"1 5/8"""	1	1:1	"0.167"""	Class 2G	Not Rated	__	95066A418	33.8	18-8 Stainless Steel	left	hex
